policy_id,roof_age,roof_vulnerability,dwelling_construction,water_loss_recency,prior_claims_5yr,coverage_a_amount,fire_station_distance,home_age,square_footage,iso_class,insurance_lapses,pet_ownership,swimming_pool,trampoline,wood_burning_stove,home_business,recent_renovations,monitored_alarm,fire_sprinklers,gated_community,wildfire_zone,canopy_density,flood_zone,foundation_type,slope_pct,burn_history,hail_zone,t3_slope_burn,t3_flood_foundation,t3_roof_age_wildfire,t3_trampoline_hail,t3_claims_wildfire,t3_firestation_slope,tier1_score,tier2_adjustment,tier3_multiplier,final_risk_score,decision,claim_frequency,claim_severity,expected_loss,expected_loss_formula
POL000001,38,asphalt,masonry,0,0,350000.0,12.2,64,4807,4,1,none,above_ground,0,none,none,0,0,none,0,1,sparse,1,stone_dirt,6.7,0,0,0,1,1,0,0,0,55.5,8.0,1.1342,72.02,Rated,0.3531,71014.95,39666.46,25074.01
POL000002,28,asphalt,wood_frame,0,1,500000.0,3.1,88,6709,8,0,none,none,0,none,none,0,0,none,0,0,dense,0,poured_concrete,26.6,1,0,1,0,0,0,0,0,66.0,0.0,1.08,71.28,Rated,0.3658,80895.76,70110.61,29591.67
POL000003,14,tile,brick_veneer,1,1,750000.0,4.2,88,6762,6,0,none,none,0,none,none,0,1,full,0,0,dense,0,poured_concrete,8.3,0,0,0,0,0,0,0,0,55.5,-12.0,1.0,43.5,Standard,0.159,43164.0,14869.48,6863.08
POL000004,42,asphalt,wood_frame,0,0,150000.0,1.3,52,3683,6,0,none,none,0,wood_burning,none,0,0,none,0,0,moderate,0,poured_concrete,5.4,0,0,0,0,0,0,0,0,59.5,4.0,1.0,63.5,Rated,0.263,59226.0,24825.51,15576.44
POL000005,7,asphalt,superior,0,0,350000.0,2.0,64,4009,8,0,none,none,0,gas_fireplace,home_office,1,0,none,0,0,sparse,1,block,1.9,0,1,0,0,0,0,0,0,33.0,-4.0,1.0,29.0,Preferred,0.149,32538.0,6130.93,4848.16
POL000006,20,tile,superior,1,2,1000000.0,6.9,2,6627,5,0,none,none,0,gas_fireplace,none,0,1,none,0,1,sparse,0,stone_dirt,0.6,0,0,0,0,0,0,1,0,56.5,-4.0,1.03,54.08,Standard,0.2926,37923.12,6650.85,11094.79
POL000007,38,metal,brick_veneer,0,1,350000.0,2.1,102,2627,8,3,standard_pets,above_ground,0,none,active_business,1,0,none,0,1,sparse,1,stone_dirt,3.3,0,0,0,1,1,0,1,0,48.0,13.0,1.1682,71.26,Rated,0.506,84565.82,62967.9,42792.81
POL000008,18,tile,brick_veneer,0,1,500000.0,3.5,20,5657,1,0,none,none,0,gas_fireplace,none,0,0,full,0,0,sparse,0,concrete_slab,0.7,1,0,0,0,0,0,0,0,41.5,-6.0,1.0,35.5,Standard,0.139,26414.0,3588.47,3671.55
POL000009,22,tile,masonry,0,1,250000.0,0.6,42,3051,10,0,dangerous_breed,none,0,none,none,0,0,none,0,0,moderate,0,concrete_slab,16.9,0,0,0,0,0,0,0,0,41.0,8.0,1.0,49.0,Standard,0.271,30282.0,2673.2,8206.42
POL000010,10,asphalt,brick_veneer,0,2,500000.0,9.5,24,3165,2,0,standard_pets,none,0,none,none,0,1,none,0,1,dense,0,block,11.6,0,0,0,0,0,0,1,0,46.5,-2.0,1.03,45.84,Standard,0.2184,43686.0,8217.11,9539.27
POL000011,10,metal,brick_veneer,0,0,150000.0,6.7,115,6110,8,0,dangerous_breed,none,0,none,none,0,0,none,0,1,moderate,0,block,10.9,1,1,0,0,0,0,0,0,33.0,8.0,1.0,41.0,Standard,0.184,51720.0,10700.42,9516.48
POL000012,23,asphalt,superior,0,1,500000.0,7.2,84,951,1,2,standard_pets,in_ground,0,none,none,0,0,none,0,0,sparse,0,concrete_slab,14.3,0,0,0,0,0,0,0,0,47.5,18.0,1.0,65.5,Rated,0.361,45022.0,11959.24,16252.94
POL000013,35,slate,brick_veneer,0,0,350000.0,1.0,110,2593,5,1,none,none,0,none,home_office,0,0,none,0,1,moderate,0,concrete_slab,6.1,0,0,0,0,1,0,0,0,46.5,6.0,1.06,55.65,Standard,0.2474,59573.48,14022.3,14737.29
POL000014,39,asphalt,brick_veneer,0,3,350000.0,3.4,66,1747,5,1,standard_pets,none,0,wood_burning,none,1,0,none,0,0,dense,1,concrete_slab,4.4,0,0,0,0,0,0,0,0,62.5,6.0,1.0,68.5,Rated,0.393,47374.0,15015.88,18617.98
POL000015,23,metal,masonry,0,1,250000.0,0.5,103,5572,2,1,none,in_ground,0,none,none,1,1,none,0,1,sparse,0,poured_concrete,22.1,1,1,1,0,1,0,1,0,36.5,0.0,1.1791,43.04,Standard,0.2852,77122.71,20640.97,21994.04
POL000016,2,tile,brick_veneer,0,4,500000.0,1.9,92,3520,2,0,none,none,0,gas_fireplace,home_office,0,0,none,0,0,sparse,0,poured_concrete,24.2,1,0,1,0,0,0,0,0,41.5,2.0,1.08,46.98,Standard,0.3977,63098.4,11692.7,25091.71
POL000017,21,slate,brick_veneer,1,0,350000.0,2.1,34,3174,1,0,none,none,0,gas_fireplace,none,0,1,none,0,0,sparse,0,poured_concrete,1.6,0,0,0,0,0,0,0,0,50.5,-4.0,1.0,46.5,Standard,0.165,33968.0,7572.98,5604.72
POL000018,1,asphalt,wood_frame,0,4,350000.0,12.2,85,3510,4,0,standard_pets,above_ground,0,none,none,0,0,none,0,0,moderate,0,poured_concrete,2.4,0,0,0,0,0,0,0,0,59.5,6.0,1.0,65.5,Rated,0.426,60320.0,24754.69,25696.32
POL000019,23,asphalt,wood_frame,1,3,500000.0,24.7,22,4079,6,1,none,none,0,none,none,0,1,none,0,1,sparse,0,poured_concrete,5.9,0,1,0,0,1,0,1,0,81.5,0.0,1.0918,88.98,Decline,0.5522,64252.7,33212.36,35482.83
POL000020,43,tile,wood_frame,0,1,250000.0,4.8,12,4980,3,0,none,in_ground,0,none,none,1,0,none,0,0,dense,0,concrete_slab,14.0,1,0,0,0,0,0,0,0,54.5,0.0,1.0,54.5,Standard,0.234,49420.0,24628.7,11564.28
POL000021,29,slate,brick_veneer,0,0,750000.0,3.6,97,2473,10,3,standard_pets,above_ground,1,none,none,0,0,none,0,0,sparse,0,concrete_slab,11.2,0,0,0,0,0,0,0,0,43.0,20.0,1.0,63.0,Rated,0.336,51406.0,11617.7,17272.42
POL000022,37,asphalt,wood_frame,0,0,500000.0,2.9,22,6942,4,0,dangerous_breed,in_ground,0,none,home_office,1,0,none,0,0,dense,1,poured_concrete,13.7,1,0,0,0,0,0,0,0,61.5,9.0,1.0,70.5,Rated,0.259,64344.0,23387.41,16665.1
POL000023,1,metal,superior,0,2,500000.0,0.5,62,6521,8,0,standard_pets,in_ground,0,none,none,0,0,none,0,0,moderate,0,concrete_slab,26.4,0,0,0,0,0,0,0,0,24.0,9.0,1.0,33.0,Standard,0.259,43952.0,12869.3,11383.57
POL000024,20,metal,brick_veneer,0,1,250000.0,8.1,98,2091,2,0,none,none,0,none,none,0,1,none,0,1,sparse,0,block,3.9,0,1,0,0,0,0,1,0,39.5,-5.0,1.03,35.54,Standard,0.1569,44411.76,15527.7,6967.32
POL000025,32,asphalt,masonry,0,0,500000.0,5.6,82,4788,9,0,none,above_ground,0,wood_burning,none,0,0,none,0,0,moderate,0,concrete_slab,13.6,0,1,0,0,0,0,0,0,56.0,7.0,1.0,63.0,Rated,0.281,60636.0,48736.3,17038.72
